Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio
5985,5598924,rh__precuneus__159,Right,5,-74,46,rh_precuneus,1,Precuneus_R,0.886363636,Precuneous Cortex_Right,1,Right_PCu,0.803030303,R_A7m,0.946969697,R_POS2_ROI,0.825757576,7Networks_RH_Default_pCunPCC_3,0.742424242,7Networks_RH_Cont_pCun_2,0.424242424,Right Control,0.833333333,Right Control C,0.848484848
5986,11270165,rh__precuneus__160,Right,14,-56,21,rh_precuneus,1,Precuneus_R,0.843137255,Precuneous Cortex_Right,1,Right_PCu,0.745098039,R_dmPOS,0.862745098,R_POS1_ROI,1,7Networks_RH_Default_pCunPCC_1,0.941176471,7Networks_RH_Default_pCunPCC_1,0.934640523,Right Default,0.934640523,Right Default C,0.928104575
5987,5197797,rh__precuneus__161,Right,12,-43,38,rh_precuneus,1,Cingulum_Mid_R,0.638095238,"Cingulate Gyrus, posterior division_Right",0.676190476,Right_PCu,0.20952381,R_A31,0.885714286,R_31a_ROI,0.914285714,7Networks_RH_Default_pCunPCC_2,0.961904762,7Networks_RH_Default_pCunPCC_6,0.99047619,Right Default,0.933333333,Right Default A,0.933333333
5988,4936812,rh__precuneus__162,Right,5,-55,30,rh_precuneus,1,Cingulum_Post_R,0.503875969,Precuneous Cortex_Right,0.899224806,Right_PCu,0.80620155,R_A31,0.992248062,R_7m_ROI,0.984496124,7Networks_RH_Default_pCunPCC_2,0.88372093,7Networks_RH_Default_pCunPCC_5,0.356589147,Right Default,0.88372093,Right Default A,0.88372093
5989,8041030,rh__precuneus__163,Right,12,-46,60,rh_precuneus,1,Precuneus_R,0.745454545,Postcentral Gyrus_Right,0.509090909,Right_PCu,0.309090909,R_A5m,0.781818182,R_5mv_ROI,1,7Networks_RH_DorsAttn_Post_9,0.490909091,7Networks_RH_SalVentAttn_Med_5,0.545454545,Right Salience / Ventral Attention,0.854545455,Right Dorsal Attention B,0.490909091
5990,392739,rh__precuneus__164,Right,12,-45,62,rh_precuneus,1,Precuneus_R,0.607142857,Postcentral Gyrus_Right,0.732142857,Right_PCu,0.25,R_A5m,0.857142857,R_5mv_ROI,0.696428571,7Networks_RH_DorsAttn_Post_9,0.660714286,7Networks_RH_DorsAttn_Post_17,0.5,Right Salience / Ventral Attention,0.803571429,Right Dorsal Attention B,0.767857143
5991,14210451,rh__rostralanteriorcingulate__1,Right,4,39,0,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.793193717,"Cingulate Gyrus, anterior division_Right",0.876963351,Right_ACgG,0.892670157,R_A32sg,0.759162304,R_a24_ROI,0.981675393,7Networks_RH_Default_PFCdPFCm_2,0.965968586,7Networks_RH_Default_PFCdPFCm_3,0.965968586,Right Default,0.952879581,Right Default A,0.952879581
5992,14845761,rh__rostralanteriorcingulate__2,Right,14,43,3,rh_rostralanteriorcingulate,1,Cingulum_Ant_R,0.822222222,Paracingulate Gyrus_Right,0.222222222,Right_ACgG,0.188888889,R_A32sg,0.477777778,R_a24_ROI,0.7,7Networks_RH_Default_PFCdPFCm_2,0.855555556,7Networks_RH_Default_PFCdPFCm_3,0.855555556,Right Default,0.855555556,Right Default A,0.855555556
5993,6437242,rh__rostralanteriorcingulate__3,Right,3,37,16,rh_caudalanteriorcingulate,1,Cingulum_Ant_R,0.644897959,"Cingulate Gyrus, anterior division_Right",0.902040816,Right_ACgG,0.881632653,R_A32sg,0.804081633,R_p24_ROI,1,7Networks_RH_Cont_PFCmp_1,0.632653061,7Networks_RH_Cont_PFCmp_1,0.681632653,Right Default,0.624489796,Right Default A,0.624489796
5994,552264,rh__rostralanteriorcingulate__4,Right,5,28,-10,rh_rostralanteriorcingulate,1,Frontal_Med_Orb_R,0.597014925,Subcallosal Cortex_Right,0.910447761,Right_ACgG,0.611940299,R_A14m,0.567164179,R_s32_ROI,0.611940299,7Networks_RH_Default_PFCdPFCm_1,1,7Networks_RH_Default_PFCdPFCm_1,1,Right Default,0.985074627,Right Default A,0.686567164
